"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2021-15878-19/09/2025","NORTH ADELAIDE","CITY OF ADELAIDE",3,1,0,0,1,2021,"May","Saturday","07:50 pm",50,"Sealed","Dry","Not Raining","Night","Rear End",1,,,1329497.35,1672884.77
"2021-15880-19/09/2025","FERRYDEN PARK","CITY OF PORT ADELAIDE ENFIELD",2,1,0,0,1,2021,"May","Saturday","08:20 pm",50,"Sealed","Dry","Not Raining","Night","Right Angle",1,,,1324823.34,1677166.23
"2021-15892-19/09/2025","PEWSEY VALE","THE BAROSSA COUNCIL.",1,1,0,1,0,2021,"May","Sunday","12:50 pm",100,"Unsealed","Dry","Not Raining","Daylight","Roll Over",1,,,1362559.45,1703562.2
"2021-15893-19/09/2025","MOONTA","COPPER COAST DISTRICT COUNCIL",2,1,0,0,1,2021,"April","Friday","08:30 pm",50,"Sealed","Unknown","Unknown","Night","Hit Pedestrian",1,,,1238862.42,1768152.13
"2021-15896-19/09/2025","OAKLANDS PARK","CC MARION.",2,1,0,0,1,2021,"April","Friday","03:20 pm",60,"Sealed","Dry","Not Raining","Daylight","Side Swipe",2,,,1323159.67,1661046.38
"2021-15898-19/09/2025","SOMERTON PARK","CITY OF HOLDFAST BAY",2,1,0,0,1,2021,"May","Sunday","12:20 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1321668.47,1663436.79
"2021-15905-19/09/2025","NORTH ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2021,"May","Monday","04:15 am",60,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,,,1326881.53,1672418.87
"2021-15906-19/09/2025","MORPHETT VALE","CITY OF ONKAPARINGA",2,1,0,1,0,2021,"May","Monday","06:33 am",60,"Sealed","Dry","Not Raining","Night","Hit Pedestrian",1,,,1320740.69,1651011.75
"2021-15907-19/09/2025","MORPHETT VALE","CITY OF ONKAPARINGA",2,1,0,1,0,2021,"May","Monday","08:58 am",60,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",2,,,1321697.21,1648720.56
"2021-15909-19/09/2025","VICTOR HARBOR","DC VICTOR HARBOR.",1,1,0,0,1,2021,"May","Monday","08:30 am",50,"Sealed","Wet","Raining","Daylight","Roll Over",1,,,1328335.09,1601720.01
"2021-15911-19/09/2025","WELLAND","CITY OF CHARLES STURT",3,2,0,0,2,2021,"May","Monday","10:45 am",60,"Sealed","Dry","Not Raining","Daylight","Right Turn",2,,,1324861.82,1673188.4
"2021-15913-19/09/2025","TORRENSVILLE","CITY OF WEST TORRENS",2,1,0,0,1,2021,"May","Monday","10:50 am",60,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1325754.03,1670993.72
"2021-15915-19/09/2025","CAMPBELLTOWN","CC CAMPBELLTOWN.",2,2,0,1,1,2021,"May","Monday","11:16 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1334468.27,1675734.19
"2021-15920-19/09/2025","WINGFIELD","CITY OF PORT ADELAIDE ENFIELD",3,1,0,0,1,2021,"May","Monday","02:03 pm",60,"Sealed","Wet","Raining","Daylight","Rear End",2,,,1324903.02,1679177.81
"2021-15921-19/09/2025","INGLE FARM","CITY OF SALISBURY",2,1,0,0,1,2021,"May","Monday","03:16 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1334135.56,1682073.79
"2021-15924-19/09/2025","GLOBE DERBY PARK","CITY OF SALISBURY",3,2,0,1,1,2021,"May","Monday","03:00 pm",110,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1327238.28,1686085.39
"2021-15927-19/09/2025","DULWICH","CITY OF BURNSIDE",2,1,0,0,1,2021,"May","Monday","04:51 pm",60,"Sealed","Wet","Raining","Daylight","Rear End",1,,,1330659.78,1669417.65
"2021-15929-19/09/2025","ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2021,"May","Monday","03:30 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",1,,,1329495.88,1671008.62
"2021-15930-19/09/2025","NAILSWORTH","CITY OF PROSPECT",2,1,0,0,1,2021,"May","Monday","04:15 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1328918.13,1674732.24
"2021-15933-19/09/2025","SALISBURY EAST","CITY OF SALISBURY",2,1,0,0,1,2021,"May","Monday","01:30 pm",80,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1333298.13,1685374.25
"2021-15934-19/09/2025","PORT ADELAIDE","CITY OF PORT ADELAIDE ENFIELD",3,1,0,1,0,2021,"May","Monday","05:54 pm",60,"Sealed","Dry","Not Raining","Night","Side Swipe",1,,,1321026.79,1680305.94
"2021-15937-19/09/2025","ULEYBURY","CITY OF PLAYFORD.",3,2,0,0,2,2021,"May","Monday","09:11 pm",80,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,,,1341381.1,1697661.04
"2021-15938-19/09/2025","CULBURRA","COORONG DISTRICT COUNCIL",2,2,0,0,2,2021,"May","Monday","06:30 pm",110,"Sealed","Wet","Not Raining","Night","Side Swipe",1,,,1446433.76,1569597.24
"2021-15939-19/09/2025","MOUNT WILLOUGHBY",,1,1,1,0,0,2021,"May","Monday","09:12 am",110,"Sealed","Dry","Not Raining","Daylight","Roll Over",1,"Y",,920969.86,2393917.2
"2021-15942-19/09/2025","MOERLONG","WATTLE RANGE COUNCIL",2,1,0,0,1,2021,"May","Tuesday","05:15 am",110,"Sealed","Dry","Not Raining","Night","Roll Over",1,,,1505758.09,1380538.67
"2021-15943-19/09/2025","PARK HOLME","CC MARION.",3,2,0,0,2,2021,"May","Tuesday","06:27 am",60,"Sealed","Dry","Not Raining","Night","Rear End",1,,,1324287.88,1664531.59
"2021-15946-19/09/2025","BURNSIDE","CITY OF BURNSIDE",2,1,0,0,1,2021,"May","Tuesday","09:00 am",50,"Sealed","Dry","Not Raining","Daylight","Side Swipe",1,,,1334297.62,1668542.5
"2021-15947-19/09/2025","TROTT PARK","CC MARION.",2,1,0,0,1,2021,"May","Monday","06:15 pm",50,"Sealed","Dry","Not Raining","Night","Right Turn",2,,,1322463.7,1654250.78
"2021-15949-19/09/2025","BOLIVAR","CITY OF SALISBURY",2,1,0,0,1,2021,"May","Monday","04:35 pm",90,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1328552.49,1687936.23
